order_id,id,status,amount,price,order_type,timestamp,session_id,trader_id
a4aea17b-2c18-47c5-a717-6ee4da7d5e9b,a4aea17b-2c18-47c5-a717-6ee4da7d5e9b,fulfilled,1,5,bid,2023-09-18 13:20:46.710085,1234,f0ae78d6-50c1-4be2-9ed5-dadaa679c828
932d608a-18a0-4808-8117-dcea01f4a109,932d608a-18a0-4808-8117-dcea01f4a109,fulfilled,1,1,ask,2023-09-18 13:20:46.710085,1234,80e88cb7-fba4-4374-b43f-b0899ba05aa9
1f3e9714-f604-4a13-a937-239cbee52c6a,1f3e9714-f604-4a13-a937-239cbee52c6a,active,1,3,bid,2023-09-18 13:20:46.710085,1234,2199b047-ec05-4697-9e9d-c4d59d06594c
965c2476-b789-4925-9ba8-680873f478d8,965c2476-b789-4925-9ba8-680873f478d8,active,1,2,bid,2023-09-18 13:20:48.978961,1234,80e88cb7-fba4-4374-b43f-b0899ba05aa9
78804fc5-16d8-42a2-9412-8cf771eb01d2,78804fc5-16d8-42a2-9412-8cf771eb01d2,fulfilled,1,6,bid,2023-09-18 13:20:48.978961,1234,2199b047-ec05-4697-9e9d-c4d59d06594c
9bc2174b-1b53-401f-85ca-69729a230931,9bc2174b-1b53-401f-85ca-69729a230931,fulfilled,1,3,ask,2023-09-18 13:20:48.978961,1234,f0ae78d6-50c1-4be2-9ed5-dadaa679c828
d77f5ac0-d04f-4095-ac43-1ce964543428,d77f5ac0-d04f-4095-ac43-1ce964543428,fulfilled,1,5,ask,2023-09-18 13:20:51.732937,1234,80e88cb7-fba4-4374-b43f-b0899ba05aa9
f81dba2a-9c17-4394-a28c-aaa7ccd07046,f81dba2a-9c17-4394-a28c-aaa7ccd07046,fulfilled,1,5,bid,2023-09-18 13:20:51.732937,1234,f0ae78d6-50c1-4be2-9ed5-dadaa679c828
24ffebac-f165-493a-aa0e-60b9cec89de7,24ffebac-f165-493a-aa0e-60b9cec89de7,active,1,5,ask,2023-09-18 13:20:51.732937,1234,2199b047-ec05-4697-9e9d-c4d59d06594c
c65af4a4-9ad3-4b63-ae75-99883e6e82bb,c65af4a4-9ad3-4b63-ae75-99883e6e82bb,active,1,5,ask,2023-09-18 13:20:53.732222,1234,80e88cb7-fba4-4374-b43f-b0899ba05aa9
b36a2a15-110d-43ee-9618-d84cc5251e0d,b36a2a15-110d-43ee-9618-d84cc5251e0d,active,1,3,bid,2023-09-18 13:20:53.732222,1234,f0ae78d6-50c1-4be2-9ed5-dadaa679c828
68c0a0ed-7845-4e9e-8bb6-4843f2931a9a,68c0a0ed-7845-4e9e-8bb6-4843f2931a9a,active,1,5,ask,2023-09-18 13:20:53.732222,1234,2199b047-ec05-4697-9e9d-c4d59d06594c
